,AreaName,Price ($),lat,lng
407,Richmond Hill,668000,43.856258000000004,-79.443405
408,Richmond Hill,888000,43.878567,-79.403717
409,Richmond Hill,1249900,43.953888,-79.44149
410,Richmond Hill,1199000,43.916740000000004,-79.43024399999999
411,Richmond Hill,1199000,43.882725,-79.42205
412,Bayview Glen,1199900,43.84557,-79.413292
413,Richmond Hill,888888,43.865139,-79.442482
414,Richmond Hill,668000,43.866974,-79.443512
415,Bayview Glen,895800,43.846828,-79.423927
416,Richmond Hill,1420000,43.915451000000004,-79.433235
417,Richmond Hill,1380000,43.90464,-79.435066
418,Richmond Hill,579888,43.8605,-79.433083
419,Richmond Hill,335000,43.848576,-79.432541
420,Bayview Glen,810000,43.847469,-79.430588
421,Bathurst Manor,998000,43.758739,-79.45270500000001
422,Milliken,699900,43.811809999999994,-79.282883
423,Scarborough Village,698000,43.748539,-79.208725
424,Rouge,465000,43.80365,-79.17235600000001
425,Tam O'Shanter,788888,43.774623999999996,-79.298141
426,Rouge,599000,43.800362,-79.17734499999999
427,Richmond Hill,599000,43.910571999999995,-79.472374
428,Rouge,439000,43.802834000000004,-79.172585
429,Clairlea - Birchmount,799900,43.704266,-79.293152
430,Wilson Heights,1399990,43.748855999999996,-79.453499
431,Milliken,429000,43.811077000000004,-79.279678
432,Toronto,688000,43.820442,-79.26374100000001
433,Richmond Hill,788000,43.940819,-79.442017
434,Richview,908800,43.687252,-79.539108
435,Earlscourt,599000,43.679153,-79.457504
436,Rexdale,609900,43.727604,-79.564903
437,Midtown Toronto,1179000,43.687832,-79.436775
438,Bayview Village,312900,43.765289,-79.382339
439,Downtown,389900,43.639381,-79.384064
440,Oakville,1350000,43.473746999999996,-79.66056800000001
441,Mississauga,525000,43.50983,-79.64267
442,Lakeview,699000,43.595562,-79.580551
443,Mississauga,269900,43.592449,-79.605553
444,Lakeview,499900,43.573025,-79.56959499999999
445,Richmond Hill,1195000,43.910522,-79.454201
446,Richmond Hill,1198000,43.882359,-79.418533
447,Richmond Hill,1388000,43.888855,-79.414459
448,Richmond Hill,759000,43.940556,-79.452339
449,Richmond Hill,1298000,43.921391,-79.459763
450,Eatonville,289900,43.640301,-79.562302
451,Agincourt,868888,43.794025,-79.285156
452,Downtown,539900,43.661045,-79.38166
453,West Hill,675000,43.773659,-79.196533
454,West Hill,469500,43.765007000000004,-79.19281
455,Newtonbrook,1599000,43.789004999999996,-79.432106
456,Toronto,698800,43.820442,-79.26374100000001
457,Clairlea - Birchmount,629000,43.702591,-79.272026
458,Milliken,319000,43.800647999999995,-79.307007
459,Islington - City Centre West,389900,43.609261,-79.558998
460,Mississauga,849999,43.609875,-79.61533399999999
461,Downtown,461000,43.640816,-79.395538
462,Lansing,778800,43.755134999999996,-79.41078900000001
463,Dorset Park,599000,43.752731,-79.277641
464,Richmond Hill,719000,43.889953999999996,-79.427849
465,Downtown,335000,43.645641,-79.39295200000001
466,Downtown,539900,43.661102,-79.382103
467,L'Amoreaux,775999,43.816643,-79.333656
468,Mimico,329000,43.621615999999996,-79.48291800000001
469,Niagara,499999,43.641571,-79.412743
470,Wallace Emerson,899900,43.665096000000005,-79.439278
471,Lambton,799999,43.663452,-79.49045600000001
472,Toronto,769000,43.827942,-79.273911
473,Downsview,534900,43.727352,-79.511032
474,Malvern,571300,43.814308000000004,-79.21575899999999
475,Henry Farm,366000,43.774746,-79.336929
476,Rockcliffe - Smythe,549900,43.66758,-79.500061
477,Earlscourt,598000,43.682091,-79.451126
478,Toronto,738800,43.820442,-79.26374100000001
479,Birch Cliff,1599900,43.685364,-79.280182
480,Tam O'Shanter,339800,43.786015,-79.290237
481,Rexdale,599900,43.751723999999996,-79.590424
482,Cooksville,789000,43.580494,-79.60508
483,Mississauga,347000,43.587852000000005,-79.639847
484,East Credit,1199900,43.583228999999996,-79.674667
485,Cooksville,305000,43.580219,-79.62516
486,East Credit,405000,43.592575,-79.672379
487,Mississauga,325000,43.604046000000004,-79.652351
488,Mississauga,362000,43.589405,-79.649323
489,Mississauga,258000,43.594543,-79.635468
490,Rockwood Village,339900,43.625408,-79.60189799999999
491,Mississauga,445000,43.594543,-79.635468
492,Mississauga,800000,43.602573,-79.610641
493,Mississauga,259900,43.587097,-79.64119000000001
494,Mississauga,339500,43.585938,-79.647148
495,Mississauga,435000,43.587097,-79.64119000000001
496,Mississauga,575000,43.512791,-79.629295
497,Cooksville,243900,43.570129,-79.630836
498,Richmond Hill,318888,43.8494,-79.376251
499,Richmond Hill,1150000,43.879196,-79.423218
500,Richmond Hill,980000,43.86898,-79.422127
501,Newtonbrook,348800,43.780464,-79.447006
502,Willowdale,638000,43.760464,-79.410248
503,Downtown,468800,43.649731,-79.365303
504,Leslieville,699000,43.66098,-79.330055
505,North Toronto,1480000,43.733105,-79.39321899999999
506,Guildwood,715000,43.743652000000004,-79.20015
507,Fairbank,499000,43.691193,-79.461662
508,Mimico,367000,43.624401,-79.491013
509,Tam O'Shanter,999900,43.788258,-79.306534
510,Dorset Park,619900,43.747279999999996,-79.274452
511,Rouge,559999,43.807819,-79.180832
512,The Queensway,799800,43.629925,-79.50619499999999
513,Eringate - Centennial - West Deane,1047900,43.646442,-79.581795
514,Mimico,685000,43.631432000000004,-79.473564
515,Downtown,378000,43.640381,-79.397339
516,King West Village,399900,43.640839,-79.41508499999999
517,Liberty Village,399900,43.638775,-79.41626
518,Junction Triangle,719000,43.660889000000005,-79.44720500000001
519,Niagara,424900,43.641735,-79.41449
520,Swansea,498000,43.636292,-79.470467
521,Downtown,399900,43.639095000000005,-79.386475
522,Swansea,480000,43.63913,-79.47483100000001
523,Downtown,438000,43.648983,-79.365219
524,Woodbine Gardens,699900,43.701794,-79.30358100000001
525,Bridlewood,979000,43.802124,-79.32852199999999
526,Rexdale,549900,43.739346000000005,-79.575073
527,Rexdale,200199,43.73069,-79.611
528,L'Amoreaux,1599000,43.797714,-79.295837
529,Humber Bay Shores,349900,43.627644000000004,-79.478188
530,Don Valley Village,338800,43.774311,-79.359085
531,Cliffcrest,629900,43.734875,-79.22728000000001
532,Wilson Heights,999900,43.73904,-79.44236
533,Port Union,649900,43.782429,-79.14582800000001
534,Malvern,539000,43.808029,-79.229721
535,Downtown,634900,43.669643,-79.380608
536,Dorset Park,588000,43.767146999999994,-79.271454
537,Tam O'Shanter,285000,43.785804999999996,-79.292114
538,Midtown Toronto,495000,43.706771999999994,-79.39523299999999
539,Malvern,498000,43.792122,-79.235725
540,Woburn,529000,43.749328999999996,-79.226715
541,Silverthorn,589000,43.684425,-79.462715
542,Swansea,498000,43.636292,-79.470467
543,Jane and Finch,569900,43.741797999999996,-79.508911
544,Rexdale,664900,43.723648,-79.589729
545,Wexford - Maryvale,649000,43.755215,-79.30976899999999
546,Rockcliffe - Smythe,322000,43.676445,-79.505966
547,Downtown,469900,43.642139,-79.37571
548,Danforth Village,499000,43.691113,-79.291534
549,Downtown,588000,43.659618,-79.379684
550,Swansea,329900,43.636173,-79.47075699999999
551,Mimico,435000,43.62381,-79.488022
552,Malvern,799000,43.819778,-79.211075
553,Mimico,359900,43.624207,-79.488228
554,The Queensway,479000,43.625931,-79.490524
555,Scarborough Junction,699900,43.723095,-79.260643
556,Bathurst Manor,349900,43.753578000000005,-79.448555
557,Downtown,369900,43.64904,-79.392258
558,Downtown,299800,43.655113,-79.384804
559,Downtown,512000,43.644172999999995,-79.38942
560,Rockcliffe - Smythe,599900,43.680248,-79.483566
561,Jane and Finch,285000,43.740059,-79.50960500000001
562,Midtown Toronto,719000,43.66983,-79.414742
563,The Elms,299900,43.728195,-79.549736
564,Leslieville,747400,43.667384999999996,-79.334412
565,Liberty Village,798000,43.638306,-79.414787
566,Downtown,849000,43.639683000000005,-79.39211999999999
567,Six Points,384900,43.644825,-79.53009
568,Bayview Village,449000,43.765289,-79.382339
569,Willowdale,399888,43.773746,-79.41551199999999
570,Downtown,489000,43.664845,-79.385933
571,Downtown,1599000,43.643799,-79.39960500000001
572,Leslieville,1200000,43.664089000000004,-79.341415
573,Leslieville,953350,43.667133,-79.334404
574,Willowdale,929000,43.758666999999996,-79.403778
575,Bridlewood,229900,43.794464000000005,-79.312782
576,Bayview Village,339900,43.767746,-79.370918
577,Niagara,629000,43.636234,-79.403122
578,Mimico,459000,43.631432000000004,-79.473564
579,Clairlea,1090000,43.715702,-79.286171
580,North Toronto,414000,43.711781,-79.39164
