,AreaName,Price ($),lat,lng,KMeans_Cluster
368,Maple Leaf,799000,43.720276,-79.48490100000002,2
369,Woburn,525000,43.758507,-79.21279100000002,0
370,Riverdale,899000,43.675503000000006,-79.34429200000002,2
371,Upper Beaches,899900,43.686844,-79.29077099999998,2
372,Malvern,379900,43.792198,-79.232147,0
373,The Queensway,649900,43.628426,-79.49398000000002,2
374,Bayview Village,1050000,43.767426,-79.37751,1
375,Midtown Toronto,549000,43.707161,-79.393127,2
376,Downtown,374900,43.652714,-79.3563,0
377,Bendale,499900,43.765526,-79.253128,0
378,Downtown,748888,43.65004,-79.373352,2
379,Willowdale,419900,43.760464,-79.410248,0
380,The Queensway,649900,43.628426,-79.49398000000002,2
381,Mississauga,209900,43.587418,-79.62846400000002,0
382,Erin Mills,129000,43.543655,-79.68306,0
383,Mississauga,950000,43.622925,-79.646111,2
384,Malton,649900,43.727547,-79.643188,2
385,Mississauga,575000,43.564972,-79.650948,2
386,Dixie,629900,43.609303,-79.597534,2
387,Mississauga,729900,43.606991,-79.615433,2
388,Cooksville,825000,43.563198,-79.62451899999998,2
389,Mississauga,950000,43.622925,-79.646111,2
390,Lakeview,1049700,43.601135,-79.572868,1
391,Mississauga,249800,43.616287,-79.664009,0
392,Mississauga,328888,43.590103000000006,-79.627022,0
393,Rexdale,195900,43.73354000000001,-79.592949,0
394,Downtown,649900,43.669609,-79.384773,2
395,Harwood,699400,43.677654,-79.473663,2
396,Niagara,349000,43.636963,-79.404671,0
397,Midtown Toronto,1299000,43.700653,-79.439201,1
398,Kennedy Park,628000,43.726383,-79.270432,2
399,Emery,569900,43.745125,-79.54053499999998,2
400,Richmond Hill,739000,43.864326,-79.45070600000003,2
401,Richmond Hill,1199888,43.925968,-79.45578,1
402,Maple,999990,43.845722,-79.45845,2
403,Richmond Hill,999900,43.892128,-79.428207,2
404,Richmond Hill,739000,43.93924000000001,-79.442604,2
405,Richmond Hill,1190000,43.887222,-79.39534,1
406,Richmond Hill,988000,43.908413,-79.43763,2
407,Richmond Hill,668000,43.856258,-79.443405,2
408,Richmond Hill,888000,43.878567,-79.403717,2
409,Richmond Hill,1249900,43.953888,-79.44149,1
410,Richmond Hill,1199000,43.91674,-79.43024399999999,1
411,Richmond Hill,1199000,43.882725,-79.42205,1
412,Bayview Glen,1199900,43.84557,-79.413292,1
413,Richmond Hill,888888,43.865139,-79.442482,2
414,Richmond Hill,668000,43.866974,-79.443512,2
415,Bayview Glen,895800,43.846828,-79.423927,2
416,Richmond Hill,1420000,43.915451,-79.433235,1
417,Richmond Hill,1380000,43.90464,-79.435066,1
418,Richmond Hill,579888,43.8605,-79.433083,2
419,Richmond Hill,335000,43.848576,-79.432541,0
420,Bayview Glen,810000,43.847469,-79.430588,2
421,Bathurst Manor,998000,43.758739,-79.45270500000002,2
422,Milliken,699900,43.81181,-79.282883,2
423,Scarborough Village,698000,43.748539,-79.208725,2
424,Rouge,465000,43.80365,-79.17235600000002,0
425,Tam O'Shanter,788888,43.774624,-79.298141,2
426,Rouge,599000,43.800362,-79.17734499999997,2
427,Richmond Hill,599000,43.910572,-79.472374,2
428,Rouge,439000,43.802834,-79.172585,0
429,Clairlea - Birchmount,799900,43.704266,-79.293152,2
430,Wilson Heights,1399990,43.748856,-79.453499,1
431,Milliken,429000,43.811077,-79.279678,0
432,Toronto,688000,43.820442,-79.26374100000002,2
433,Richmond Hill,788000,43.940819,-79.442017,2
434,Richview,908800,43.687252,-79.539108,2
435,Earlscourt,599000,43.679153,-79.457504,2
436,Rexdale,609900,43.727604,-79.564903,2
437,Midtown Toronto,1179000,43.687832,-79.436775,1
438,Bayview Village,312900,43.765289,-79.382339,0
439,Downtown,389900,43.639381,-79.384064,0
440,Oakville,1350000,43.473747,-79.66056800000001,1
441,Mississauga,525000,43.50983,-79.64267,0
442,Lakeview,699000,43.595562,-79.580551,2
443,Mississauga,269900,43.592449,-79.605553,0
444,Lakeview,499900,43.573025,-79.56959499999998,0
445,Richmond Hill,1195000,43.910522,-79.454201,1
446,Richmond Hill,1198000,43.882359,-79.418533,1
447,Richmond Hill,1388000,43.888855,-79.414459,1
448,Richmond Hill,759000,43.940556,-79.452339,2
449,Richmond Hill,1298000,43.921391,-79.459763,1
450,Eatonville,289900,43.640301,-79.562302,0
451,Agincourt,868888,43.794025,-79.285156,2
452,Downtown,539900,43.661045,-79.38166,2
453,West Hill,675000,43.773659,-79.196533,2
454,West Hill,469500,43.765007,-79.19281,0
455,Newtonbrook,1599000,43.789005,-79.432106,1
456,Toronto,698800,43.820442,-79.26374100000002,2
457,Clairlea - Birchmount,629000,43.702591,-79.272026,2
458,Milliken,319000,43.800648,-79.307007,0
459,Islington - City Centre West,389900,43.609261,-79.558998,0
460,Mississauga,849999,43.609875,-79.61533399999998,2
461,Downtown,461000,43.640816,-79.395538,0
462,Lansing,778800,43.755135,-79.41078900000002,2
463,Dorset Park,599000,43.752731,-79.277641,2
464,Richmond Hill,719000,43.889954,-79.427849,2
465,Downtown,335000,43.645641,-79.39295200000002,0
466,Downtown,539900,43.661102,-79.382103,2
467,L'Amoreaux,775999,43.816643,-79.333656,2
468,Mimico,329000,43.621616,-79.48291800000001,0
469,Niagara,499999,43.641571,-79.412743,0
470,Wallace Emerson,899900,43.66509600000001,-79.439278,2
471,Lambton,799999,43.663452,-79.49045600000002,2
472,Toronto,769000,43.827942,-79.273911,2
473,Downsview,534900,43.727352,-79.511032,0
474,Malvern,571300,43.814308,-79.21575899999998,2
475,Henry Farm,366000,43.774746,-79.336929,0
476,Rockcliffe - Smythe,549900,43.66758,-79.500061,2
477,Earlscourt,598000,43.682091,-79.451126,2
478,Toronto,738800,43.820442,-79.26374100000002,2
479,Birch Cliff,1599900,43.685364,-79.280182,1
480,Tam O'Shanter,339800,43.786015,-79.290237,0
481,Rexdale,599900,43.751724,-79.590424,2
482,Cooksville,789000,43.580494,-79.60508,2
483,Mississauga,347000,43.58785200000001,-79.639847,0
484,East Credit,1199900,43.583229,-79.674667,1
485,Cooksville,305000,43.580219,-79.62516,0
486,East Credit,405000,43.592575,-79.672379,0
487,Mississauga,325000,43.604046,-79.652351,0
488,Mississauga,362000,43.589405,-79.649323,0
489,Mississauga,258000,43.594543,-79.635468,0
490,Rockwood Village,339900,43.625408,-79.60189799999998,0
491,Mississauga,445000,43.594543,-79.635468,0
492,Mississauga,800000,43.602573,-79.610641,2
493,Mississauga,259900,43.587097,-79.64119000000002,0
494,Mississauga,339500,43.585938,-79.647148,0
495,Mississauga,435000,43.587097,-79.64119000000002,0
496,Mississauga,575000,43.512791,-79.629295,2
497,Cooksville,243900,43.570129,-79.630836,0
498,Richmond Hill,318888,43.8494,-79.376251,0
499,Richmond Hill,1150000,43.879196,-79.423218,1
500,Richmond Hill,980000,43.86898,-79.422127,2
501,Newtonbrook,348800,43.780464,-79.447006,0
502,Willowdale,638000,43.760464,-79.410248,2
503,Downtown,468800,43.649731,-79.365303,0
504,Leslieville,699000,43.66098,-79.330055,2
505,North Toronto,1480000,43.733105,-79.39321899999999,1
506,Guildwood,715000,43.743652,-79.20015,2
507,Fairbank,499000,43.691193,-79.461662,0
508,Mimico,367000,43.624401,-79.491013,0
509,Tam O'Shanter,999900,43.788258,-79.306534,2
510,Dorset Park,619900,43.74728,-79.274452,2
511,Rouge,559999,43.807819,-79.180832,2
512,The Queensway,799800,43.629925,-79.50619499999998,2
513,Eringate - Centennial - West Deane,1047900,43.646442,-79.581795,1
514,Mimico,685000,43.631432,-79.473564,2
515,Downtown,378000,43.640381,-79.397339,0
516,King West Village,399900,43.640839,-79.41508499999998,0
517,Liberty Village,399900,43.638775,-79.41626,0
518,Junction Triangle,719000,43.66088900000001,-79.44720500000003,2
519,Niagara,424900,43.641735,-79.41449,0
520,Swansea,498000,43.636292,-79.470467,0
521,Downtown,399900,43.63909500000001,-79.386475,0
522,Swansea,480000,43.63913,-79.47483100000002,0
523,Downtown,438000,43.648983,-79.365219,0
524,Woodbine Gardens,699900,43.701794,-79.30358100000002,2
525,Bridlewood,979000,43.802124,-79.32852199999998,2
526,Rexdale,549900,43.73934600000001,-79.575073,2
527,Rexdale,200199,43.73069,-79.611,0
528,L'Amoreaux,1599000,43.797714,-79.295837,1
529,Humber Bay Shores,349900,43.627644,-79.478188,0
530,Don Valley Village,338800,43.774311,-79.359085,0
531,Cliffcrest,629900,43.734875,-79.22728000000002,2
532,Wilson Heights,999900,43.73904,-79.44236,2
533,Port Union,649900,43.782429,-79.14582800000002,2
534,Malvern,539000,43.808029,-79.229721,2
535,Downtown,634900,43.669643,-79.380608,2
536,Dorset Park,588000,43.767147,-79.271454,2
537,Tam O'Shanter,285000,43.785805,-79.292114,0
538,Midtown Toronto,495000,43.706772,-79.39523299999998,0
539,Malvern,498000,43.792122,-79.235725,0
540,Woburn,529000,43.749329,-79.226715,0
541,Silverthorn,589000,43.684425,-79.462715,2
542,Swansea,498000,43.636292,-79.470467,0
543,Jane and Finch,569900,43.741798,-79.508911,2
